"x","y","mmi","mmi_class"
-2166103.9056889,2411675.66019034,69.93,"Good"
-2102711.65010369,2120151.44487639,58.2,"Good"
-1971975.64676928,1851165.22365742,71.78,"Good"
-2275995.73775613,1990389.54195111,35.57,"Poor"
-2288690.88252095,2412292.67678221,68.82,"Good"
-2134881.05472018,2184479.21049789,77.63,"Good"
-2283186.46530026,2081274.52917117,58.53,"Good"
-2315158.73190746,2239895.89459258,51.1,"Good"
-2109134.68300428,2087208.66704156,75.82,"Good"
-1101566.97855406,1664849.951055,51.63,"Fair"
-1073401.64099907,1928508.23176571,72.33,"Good"
-775172.804079903,1919020.66504169,25.03,"Fair"
-993427.675749202,1908265.21627006,47.25,"Fair"
-659564.606959321,1788892.40938906,19.97,"Poor"
-765105.191324408,1849643.19877529,48.63,"Good"
-764933.269418586,1838042.94601134,21.67,"Poor"
-642822.455421292,1665058.76874696,48.53,"Good"
-766375.125343371,1911473.3312895,19.97,"Poor"
-775282.081006235,1946015.96980266,75.1,"Good"
-917830.026923754,2049069.30285674,51.8,"Good"
-755658.500752387,1853783.44695815,42.83,"Good"
-550252.321380202,1688467.75613226,9.98,"Poor"
-1078227.57049716,1958244.35092241,36.68,"Poor"
-991985.070711425,1785024.33444303,33.98,"Poor"
-1062732.41776304,1829235.10312897,39.72,"Poor"
-890487.334874692,1865328.35058993,33.67,"Poor"
-664414.019792818,1645113.53844468,17.27,"Poor"
-944322.852860841,1684684.27738332,69.57,"Good"
-768727.578150299,1941779.02211453,70.58,"Good"
-529198.336480742,2010082.44749715,33.33,"Fair"
-854379.409064687,1614267.35005154,67.63,"Good"
-1081720.93087082,2014102.92769652,61.05,"Good"
-856079.841342367,1828606.88309736,60.15,"Good"
-938906.279817424,1903065.19228739,44.98,"Fair"
-751454.145856738,1912288.70960338,21.57,"Fair"
-855368.331729029,1634987.0733182,40.18,"Poor"
-986434.176055276,1942167.06080704,45.97,"Fair"
-1044270.70082079,2006328.03564771,33.33,"Poor"
-781192.74612091,1857855.20101343,48.45,"Fair"
-976698.831703018,1826036.98543813,35.18,"Poor"
-787804.498312662,2001940.68715831,44.28,"Fair"
-641887.2118742,1667251.47809858,37.97,"Good"
-891441.813805059,1931762.01843225,18.78,"Poor"
-1029133.89530131,2012056.67976555,60.43,"Good"
-693232.10116696,1617898.33428739,50.55,"Good"
-877759.951926436,1603775.81814276,62.93,"Good"
-519599.741518845,1863206.09774281,18.88,"Poor"
-1065292.17875599,1700408.06461656,68.58,"Good"
-1070526.66728511,1936561.11360372,22.52,"Poor"
-776409.766144436,1873796.85891134,7.3,"Poor"
-908247.654075025,1733822.99401714,16.72,"Poor"
-900967.75402949,1780243.47078987,65.32,"Good"
-782567.898751415,2026264.68146974,67.12,"Good"
-771986.662809918,1652462.19680767,56.9,"Good"
-788280.622267087,1708082.16842866,28.57,"Poor"
-574786.566357191,1617201.44879022,16.67,"Poor"
-881345.212169935,1975568.03192455,16.62,"Poor"
-847168.490231186,1910371.82299494,56.4,"Good"
-835494.22123676,2000730.8120675,19.97,"Poor"
1930669.30808174,2347384.13970536,65.27,"Good"
1903639.98715462,2333670.49336117,35.62,"Poor"
1967862.34928676,2337511.95348786,78.43,"Good"
1922080.82974302,2297848.31609324,13.82,"Poor"
1903675.1322441,2304027.42357704,23.4,"Poor"
1912094.96521799,2314912.29530718,10.53,"Poor"
1844941.60690145,2290439.04662691,65.57,"Good"
1907319.25588222,2329200.64110477,6.35,"Poor"
1956887.01710803,2316308.05258389,71.83,"Good"
1880068.83543815,2325460.85051257,77.05,"Good"
1851711.34583069,2284422.60591174,17.85,"Poor"
1906257.93329395,2341347.80429174,70.52,"Good"
1966248.28256698,2324727.80006408,57.55,"Good"
1925936.15371057,2293556.35964109,6.15,"Poor"
1985769.97905961,2299703.21148814,52.3,"Fair"
1909198.90193846,2316024.00792276,5.55,"Poor"
1837121.56146683,2316068.5515625,64.23,"Good"
1905632.19653325,2330836.86707904,32.03,"Poor"
1722081.10859327,1999982.35548809,53.9,"Fair"
1754353.99524539,1913383.41714525,34.62,"Poor"
1717460.07477235,2038118.07932483,12.3,"Poor"
1737123.93538396,1942559.92095752,27.1,"Poor"
1718927.60340262,2053825.96384543,6.93,"Poor"
1743457.27032694,1919674.14576426,12.85,"Poor"
1779969.82613329,1909675.40423496,8.95,"Poor"
1719571.08459466,1982098.78787432,56.4,"Good"
1719677.71069254,2042060.70274263,28.82,"Poor"
1748212.48957924,1926444.09022635,44.77,"Fair"
1755436.23138168,1945729.7134911,11.77,"Poor"
1712360.19491318,2037315.16023111,36.57,"Fair"
1728858.30722078,2052769.07425712,29.38,"Poor"
1730870.9591796,1983731.08071221,25.95,"Poor"
1754808.18724687,1938295.91981149,37.9,"Poor"
1758938.97144473,1922177.14249447,28.4,"Poor"
1735293.01318717,1950447.29538195,31.33,"Poor"
1746113.14596151,1947993.09349259,21.53,"Poor"
1725292.2615807,1969087.56277478,37.78,"Poor"
1753750.40691109,1942361.87937793,13.27,"Poor"
1725165.30593302,1994201.24595572,42.87,"Fair"
832303.097071745,865118.495423822,18.18,"Poor"
1471818.06742854,598791.502882766,15.05,"Poor"
1269416.05722698,913358.999328899,52.8,"Fair"
1259487.48007444,823267.85516646,15.35,"Poor"
907903.475706563,908861.067097251,38.62,"Poor"
1337372.89126573,742995.858206456,29.7,"Poor"
833744.80240457,882134.330656601,33.25,"Poor"
970120.408351128,902115.710046408,60,"Good"
1026027.49358188,859968.555946959,10.63,"Poor"
1188256.51892476,867867.958929119,14.58,"Poor"
1452984.92290869,556134.214901282,37.03,"Poor"
965337.016273306,924831.518953799,40.03,"Poor"
1236151.02396512,864919.189869059,43.02,"Fair"
965327.597840436,885768.527662219,38.23,"Poor"
1356655.63920988,692797.099930917,19.9,"Poor"
830220.001500107,910704.561267038,46.08,"Fair"
983646.638850169,893947.169005351,12.75,"Poor"
1414127.36927608,854225.475359102,37.87,"Poor"
1024074.12880843,910948.890409722,15.93,"Poor"
1403184.85014732,613612.587903681,26.48,"Poor"
1354683.61654331,822706.252241813,25.93,"Poor"
1356465.60754627,667929.125520126,0,"Poor"
834387.538912726,913288.96938708,16.67,"Poor"
1321656.4389839,862574.118306006,0,"Poor"
856568.964644733,917729.588813073,16.67,"Poor"
1031700.96153735,1303964.85932703,33.55,"Fair"
1151084.38706358,1195533.65197412,13.32,"Poor"
1081755.48254499,1341731.60258448,35.43,"Fair"
1115820.81843317,1096496.57036155,70.02,"Good"
1310640.53931527,1207239.78360775,35.97,"Poor"
1235139.81087966,944501.870017421,47.12,"Fair"
1181116.31986255,1086253.2078012,59.82,"Good"
1047663.70556719,1286014.66543609,20.38,"Poor"
1191087.91802693,1072435.50448013,64.72,"Good"
1035523.61463398,957715.999191144,50.1,"Fair"
1130210.18106462,930911.18534111,36.07,"Poor"
1002726.5459788,1264618.70796006,0,"Poor"
1151706.75669032,1144300.74563939,68.92,"Good"
1339448.1869617,1150661.27145636,59.87,"Good"
1125227.37593897,1194838.62194735,21.55,"Poor"
1292146.93777964,1103537.06468572,41.95,"Fair"
1087269.05853665,941770.796865938,32.4,"Poor"
1213670.29741271,1164742.21111452,48.15,"Fair"
1091178.0504535,1206284.45464787,15.1,"Poor"
1282879.25863518,1048143.8043401,24.28,"Poor"
1050490.61904786,1312663.43517366,68.43,"Good"
1122367.55221293,1342658.67212904,56.33,"Good"
1190323.06316831,1345068.86275367,27.03,"Poor"
993754.2701439,1313098.42538959,42.22,"Fair"
1350833.81309531,1112588.80793849,32.57,"Poor"
1070214.20527084,1270970.88165586,33.33,"Fair"
1031246.62950205,1161321.93841407,19,"Poor"
1118031.65270468,1366359.55975279,46.73,"Good"
987421.786739358,1373363.400169,31.07,"Fair"
979359.074553344,1292135.73728072,10.02,"Poor"
1190694.80454238,1324503.77079708,6.6,"Poor"
1029974.86413604,1331722.35606884,11.93,"Poor"
350862.803917818,2228433.51318772,21.35,"Poor"
6612.780086488,2118671.38042069,31.77,"Fair"
66510.4662939679,1980098.45603771,9.85,"Poor"
74731.6963144804,2222345.95393394,34.15,"Fair"
368617.166638055,2069333.0843022,51.67,"Good"
331918.742452163,2196584.33008969,36.62,"Fair"
296421.451003058,2202457.07183848,37.98,"Fair"
311582.556168846,2152399.37934171,28.78,"Fair"
57658.8332326852,1962631.70608721,15.43,"Poor"
355270.955708291,2246385.38641712,19.62,"Poor"
267101.391142617,2139931.21240708,9.2,"Poor"
82919.4153200713,2157270.37640263,35.55,"Fair"
91091.748297807,1985105.61098594,51.9,"Good"
412709.483717819,2184612.78683003,31.83,"Fair"
-48927.9569471288,2199601.35780128,43.53,"Good"
361557.953671095,2007737.06428082,31.48,"Fair"
464636.878136399,2147365.2829478,26.15,"Fair"
33628.9233269924,1984922.77392411,10.8,"Poor"
91259.3610304801,2273616.67346752,57.25,"Good"
91465.3541784259,2042018.8877355,5.08,"Poor"
162718.244027401,2095872.97996191,43.7,"Good"
301204.958201099,2144397.74116133,39.17,"Fair"
10348.1001947041,2156144.10737897,27.28,"Fair"
390351.15588415,2244870.68521269,27.07,"Fair"
-17207.5442556877,2252703.16574623,74.5,"Good"
171934.847874835,2264740.09853547,20.58,"Poor"
413750.587453206,1995741.51170498,36.9,"Fair"
